country,date,proportion_alpha,proportion_delta,proportion_original
Germany,2021-11-22,4.62230743680792e-08,0.999999953776926,0
Germany,2021-11-23,4.14180504337836e-08,0.999999958581949,0
Germany,2021-11-24,3.71125230547165e-08,0.999999962887477,0
Germany,2021-11-25,3.32545675441054e-08,0.999999966745433,0
Germany,2021-11-26,2.97976578966797e-08,0.999999970202342,0
Germany,2021-11-27,2.67001041276416e-08,0.999999973299896,0
Germany,2021-11-28,2.39245500077701e-08,0.99999997607545,0
Germany,2021-11-29,2.14375230900288e-08,0.999999978562477,0
Germany,2021-11-30,1.92090298112291e-08,0.99999998079097,0
Germany,2021-12-01,1.72121946695469e-08,0.999999982787805,0
Germany,2021-12-02,1.54229367055336e-08,0.999999984577063,0
Germany,2021-12-03,1.38196771803933e-08,0.999999986180323,0
Germany,2021-12-04,1.23830813381076e-08,0.999999987616919,0
Germany,2021-12-05,1.1095823704288e-08,0.999999988904176,0
Germany,2021-12-06,9.94238036344797e-09,0.99999999005762,0
Germany,2021-12-07,8.90884066517828e-09,0.999999991091159,0
Germany,2021-12-08,7.98274057967063e-09,0.999999992017259,0
Germany,2021-12-09,7.15291137431962e-09,0.999999992847089,0
Germany,2021-12-10,6.40934527673664e-09,0.999999993590655,0
Germany,2021-12-11,5.74307512657413e-09,0.999999994256925,0
Germany,2021-12-12,5.14606557366903e-09,0.999999994853934,0
Germany,2021-12-13,4.61111704375128e-09,0.999999995388883,0
Germany,2021-12-14,4.13177780878016e-09,0.999999995868222,0
Germany,2021-12-15,3.70226738155566e-09,0.999999996297733,0
Germany,2021-12-16,3.31740590553409e-09,0.999999996682594,0
Germany,2021-12-17,2.9725517602941e-09,0.999999997027448,0
Germany,2021-12-18,2.66354627243004e-09,0.999999997336454,0
Germany,2021-12-19,2.38666286733746e-09,0.999999997613337,0
Germany,2021-12-20,2.1385622162029e-09,0.999999997861438,0
Germany,2021-12-21,1.91625249001959e-09,0.999999998083748,0
Germany,2021-12-22,1.71705250018306e-09,0.999999998282948,0
Germany,2021-12-23,1.53855972406802e-09,0.99999999846144,0
Germany,2021-12-24,1.37862188331894e-09,0.999999998621378,0
Germany,2021-12-25,1.23531029849744e-09,0.99999999876469,0
Germany,2021-12-26,1.10689613030956e-09,0.999999998893104,0
Germany,2021-12-27,9.91831061725179e-10,0.999999999008169,0
